1650284900   Words were given.
Words:  nhbutg7g8uj8uh7tf6esedfuj , buyniuhutg7tfg7yh9ju9ik0
1650284900   Vector created.
1650284900   0 21  value: 21
1650284900   22 0  skip 
1650284900   22 0  value: 22
1650284900   21 1  skip 
1650284900   21 1  value: 20
1650284900   20 2  skip 
1650284900   20 2  value: 18
1650284900   19 3  skip 
1650284900   19 3  value: 17
1650284900   18 4  skip 
1650284900   18 4  value: 16
1650284900   17 5  skip 
1650284900   17 5  value: 15
1650284900   16 6  skip 
1650284900   16 6  value: 13
1650284900   15 7  skip 
1650284900   15 7  value: 11
1650284900   14 8  skip 
1650284900   14 8  value: 10
1650284900   13 9  skip 
1650284900   13 9  value: 10
1650284900   12 10  skip 
1650284900   12 10  value: 9
1650284900   11 11  skip 
1650284900   11 11  value: 10
1650284900   10 12  skip 
1650284900   10 12  value: 9
1650284900   9 13  skip 
1650284900   9 13  value: 8
1650284900   8 14  skip 
1650284900   8 14  value: 8
1650284900   7 15  skip 
1650284900   7 15  value: 10
1650284900   6 16  skip 
1650284900   6 16  value: 12
1650284900   5 17  skip 
1650284900   5 17  value: 14
1650284900   4 18  skip 
1650284900   4 18  value: 16
1650284900   3 19  skip 
1650284900   3 19  value: 17
1650284900   2 20  skip 
1650284900   2 20  value: 18
1650284900   1 21  skip 
1650284900   1 21  value: 20
1650284900   0 22  skip 
1650284900   0 22  value: 22
1650284900   23 0  skip 
1650284900   23 0  value: 23
1650284900   22 1  skip 
1650284900   22 1  value: 21
1650284900   21 2  skip 
1650284900   21 2  value: 19
1650284900   20 3  skip 
1650284900   20 3  value: 18
1650284900   19 4  skip 
1650284900   19 4  value: 17
1650284900   18 5  skip 
1650284900   18 5  value: 16
1650284900   17 6  skip 
1650284900   17 6  value: 14
1650284900   16 7  skip 
1650284900   16 7  value: 12
1650284900   15 8  skip 
1650284900   15 8  value: 11
1650284900   14 9  skip 
1650284900   14 9  value: 10
1650284900   13 10  skip 
1650284900   13 10  value: 10
1650284900   12 11  skip 
1650284900   12 11  value: 10
1650284900   11 12  skip 
1650284900   11 12  value: 10
1650284900   10 13  skip 
1650284900   10 13  value: 9
1650284900   9 14  skip 
1650284900   9 14  value: 9
1650284900   8 15  skip 
1650284900   8 15  value: 9
1650284900   7 16  skip 
1650284900   7 16  value: 11
1650284900   6 17  skip 
1650284900   6 17  value: 13
1650284900   5 18  skip 
1650284900   5 18  value: 15
1650284900   4 19  skip 
1650284900   4 19  value: 17
1650284900   3 20  skip 
1650284900   3 20  value: 18
1650284900   2 21  skip 
1650284900   2 21  value: 19
1650284900   1 22  skip 
1650284900   1 22  value: 21
1650284900   0 23  skip 
1650284900   0 23  value: 23
1650284900   24 0  skip 
1650284900   24 0  value: 24
1650284900   23 1  skip 
1650284900   23 1  value: 22
1650284900   22 2  skip 
1650284900   22 2  value: 20
1650284900   21 3  skip 
1650284900   21 3  value: 19
1650284900   20 4  skip 
1650284900   20 4  value: 18
1650284900   19 5  skip 
1650284900   19 5  value: 17
1650284900   18 6  skip 
1650284900   18 6  value: 15
1650284900   17 7  skip 
1650284900   17 7  value: 13
1650284900   16 8  skip 
1650284900   16 8  value: 12
1650284900   15 9  skip 
1650284900   15 9  value: 11
1650284900   14 10  skip 
1650284900   14 10  value: 11
1650284900   13 11  skip 
1650284900   13 11  value: 10
1650284900   12 12  skip 
1650284900   12 12  value: 11
1650284900   11 13  skip 
1650284900   11 13  value: 10
1650284900   10 14  skip 
1650284900   10 14  value: 9
1650284900   9 15  skip 
1650284900   9 15  value: 9
1650284900   8 16  skip 
1650284900   8 16  value: 10
1650284900   7 17  skip 
1650284900   7 17  value: 12
1650284900   6 18  skip 
1650284900   6 18  value: 14
1650284900   5 19  skip 
1650284900   5 19  value: 16
1650284900   4 20  skip 
1650284900   4 20  value: 17
1650284900   3 21  skip 
1650284900   3 21  value: 19
1650284900   2 22  skip 
1650284900   2 22  value: 20
1650284900   1 23  skip 
1650284900   1 23  value: 22
1650284900   0 24  skip 
1650284900   0 24  value: 24
1650284900   25 0  skip 
1650284900   25 0  value: 25
1650284900   24 1  skip 
1650284900   24 1  value: 23
1650284900   23 2  skip 
1650284900   23 2  value: 21
1650284900   22 3  skip 
1650284900   22 3  value: 20
1650284900   21 4  skip 
1650284900   21 4  value: 19
1650284900   20 5  skip 
1650284900   20 5  value: 18
1650284900   19 6  skip 
1650284900   19 6  value: 16
1650284900   18 7  skip 
1650284900   18 7  value: 14
1650284900   17 8  skip 
1650284900   17 8  value: 13
1650284900   16 9  skip 
1650284900   16 9  value: 11
1650284900   15 10  skip 
1650284900   15 10  value: 11
1650284900   14 11  skip 
1650284900   14 11  value: 11
1650284900   13 12  skip 
1650284900   13 12  value: 11
1650284900   12 13  skip 
1650284900   12 13  value: 11
1650284900   11 14  skip 
1650284900   11 14  value: 10
1650284900   10 15  skip 
1650284900   10 15  value: 10
1650284900   9 16  skip 
1650284900   9 16  value: 10
1650284900   8 17  skip 
1650284900   8 17  value: 11
1650284900   7 18  skip 
1650284900   7 18  value: 13
1650284900   6 19  skip 
1650284900   6 19  value: 15
1650284900   5 20  skip 
1650284900   5 20  value: 17
1650284900   4 21  skip 
1650284900   4 21  value: 18
1650284900   3 22  skip 
1650284900   3 22  value: 20
1650284900   2 23  skip 
1650284900   2 23  value: 21
1650284900   1 24  skip 
1650284900   1 24  value: 23
1650284900   0 25  skip 
1650284900   26 0  skip 
1650284900   25 1  skip 
1650284900   25 1  value: 24
1650284900   24 2  skip 
1650284900   24 2  value: 22
1650284900   23 3  skip 
1650284900   23 3  value: 21
1650284900   22 4  skip 
1650284900   22 4  value: 20
1650284900   21 5  skip 
1650284900   21 5  value: 19
1650284900   20 6  skip 
1650284900   20 6  value: 17
1650284900   19 7  skip 
1650284900   19 7  value: 15
1650284900   18 8  skip 
1650284900   18 8  value: 14
1650284900   17 9  skip 
1650284900   17 9  value: 12
1650284900   16 10  skip 
1650284900   16 10  value: 12
1650284900   15 11  skip 
1650284900   15 11  value: 11
1650284900   14 12  skip 
1650284900   14 12  value: 11
1650284900   13 13  skip 
1650284900   13 13  value: 12
1650284900   12 14  skip 
1650284900   12 14  value: 11
1650284900   11 15  skip 
1650284900   11 15  value: 10
1650284900   10 16  skip 
1650284900   10 16  value: 10
1650284900   9 17  skip 
1650284900   9 17  value: 11
1650284900   8 18  skip 
1650284900   8 18  value: 12
1650284900   7 19  skip 
1650284900   7 19  value: 14
1650284900   6 20  skip 
1650284900   6 20  value: 16
1650284900   5 21  skip 
1650284900   5 21  value: 18
1650284900   4 22  skip 
1650284900   4 22  value: 19
1650284900   3 23  skip 
1650284900   3 23  value: 21
1650284900   2 24  skip 
1650284900   2 24  value: 22
1650284900   1 25  skip 
1650284900   0 26  skip 
1650284900   27 0  skip 
1650284900   26 1  skip 
1650284900   25 2  skip 
1650284900   25 2  value: 23
1650284900   24 3  skip 
1650284900   24 3  value: 22
1650284900   23 4  skip 
1650284900   23 4  value: 21
1650284900   22 5  skip 
1650284900   22 5  value: 20
1650284900   21 6  skip 
1650284900   21 6  value: 18
1650284900   20 7  skip 
1650284900   20 7  value: 16
1650284900   19 8  skip 
1650284900   19 8  value: 15
1650284900   18 9  skip 
1650284900   18 9  value: 13
1650284900   17 10  skip 
1650284900   17 10  value: 12
1650284900   16 11  skip 
1650284900   16 11  value: 12
1650284900   15 12  skip 
1650284900   15 12  value: 12
1650284900   14 13  skip 
1650284900   14 13  value: 12
1650284900   13 14  skip 
1650284900   13 14  value: 12
1650284900   12 15  skip 
1650284900   12 15  value: 11
1650284900   11 16  skip 
1650284900   11 16  value: 11
1650284900   10 17  skip 
1650284900   10 17  value: 11
1650284900   9 18  skip 
1650284900   9 18  value: 12
1650284900   8 19  skip 
1650284900   8 19  value: 13
1650284900   7 20  skip 
1650284900   7 20  value: 15
1650284900   6 21  skip 
1650284900   6 21  value: 17
1650284900   5 22  skip 
1650284900   5 22  value: 19
1650284900   4 23  skip 
1650284900   4 23  value: 20
1650284900   3 24  skip 
1650284900   3 24  value: 22
1650284900   2 25  skip 
1650284900   1 26  skip 
1650284900   0 27  skip 
1650284900   28 0  skip 
1650284900   27 1  skip 
1650284900   26 2  skip 
1650284900   25 3  skip 
1650284900   25 3  value: 23
1650284900   24 4  skip 
1650284900   24 4  value: 22
1650284900   23 5  skip 
1650284900   23 5  value: 21
1650284900   22 6  skip 
1650284900   22 6  value: 19
1650284900   21 7  skip 
1650284900   21 7  value: 17
1650284900   20 8  skip 
1650284900   20 8  value: 16
1650284900   19 9  skip 
1650284900   19 9  value: 14
1650284900   18 10  skip 
1650284900   18 10  value: 13
1650284900   17 11  skip 
1650284900   17 11  value: 13
1650284900   16 12  skip 
1650284900   16 12  value: 11
1650284900   15 13  skip 
1650284900   15 13  value: 12
1650284900   14 14  skip 
1650284900   14 14  value: 13
1650284900   13 15  skip 
1650284900   13 15  value: 12
1650284900   12 16  skip 
1650284900   12 16  value: 11
1650284900   11 17  skip 
1650284900   11 17  value: 11
1650284900   10 18  skip 
1650284900   10 18  value: 12
1650284900   9 19  skip 
1650284900   9 19  value: 13
1650284900   8 20  skip 
1650284900   8 20  value: 14
1650284900   7 21  skip 
1650284900   7 21  value: 16
1650284900   6 22  skip 
1650284900   6 22  value: 18
1650284900   5 23  skip 
1650284900   5 23  value: 20
1650284900   4 24  skip 
1650284900   4 24  value: 21
1650284900   3 25  skip 
1650284900   2 26  skip 
1650284900   1 27  skip 
1650284900   0 28  skip 
